USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
nfnaa       2972  0.0  0.0 307084  6676 ?        Ssl   2025   0:04 /usr/libexec/gsd-screensaver-proxy
nfnaa       2973  0.0  0.0 541016 12364 ?        Ssl   2025   1:08 /usr/libexec/gsd-sharing
nfnaa       2980  0.0  0.0 383252  7236 ?        Ssl   2025   0:02 /usr/libexec/gsd-smartcard
nfnaa       2986  0.0  0.0 391068  8880 ?        Ssl   2025   0:02 /usr/libexec/gsd-sound
nfnaa       2989  0.0  0.0 413608 22100 ?        Ssl   2025   0:02 /usr/libexec/gsd-wacom
nfnaa       3027  0.0  0.0 460724 10996 ?        Ssl   2025   0:29 /usr/libexec/gvfs-udisks2-volume-monitor
nfnaa       3042  0.0  0.0 544224 20092 ?        Sl    2025   0:03 /usr/libexec/goa-daemon
nfnaa       3048  0.0  0.2 824504 50436 ?        Sl    2025   0:01 /usr/libexec/evolution-data-server/evolution-alarm-notify
nfnaa       3062  0.0  0.0 305624  7528 ?        Sl    2025   0:00 /usr/libexec/gsd-disk-utility-notify
nfnaa       3065  0.0  0.1 1586408 31564 ?       Ssl   2025  11:32 /bin/warp-taskbar
nfnaa       3144  0.0  0.0 386520  8024 ?        Sl    2025   0:01 /usr/libexec/goa-identity-service
nfnaa       3174  0.0  0.0 413632 13692 ?        Sl    2025   0:00 /usr/libexec/gsd-printer
nfnaa       3192  0.0  0.0 961928 19608 ?        Ssl   2025   0:06 /usr/libexec/evolution-calendar-factory
nfnaa       3206  0.0  0.0 307188  6424 ?        Ssl   2025   0:01 /usr/libexec/gvfs-mtp-volume-monitor
nfnaa       3217  0.0  0.0 307288  6376 ?        Ssl   2025   0:01 /usr/libexec/gvfs-goa-volume-monitor
nfnaa       3224  0.0  0.0 308156  6668 ?        Ssl   2025   0:01 /usr/libexec/gvfs-gphoto2-volume-monitor
nfnaa       3229  0.0  0.0 749272 23908 ?        Ssl   2025   0:04 /usr/libexec/evolution-addressbook-factory
nfnaa       3236  0.0  0.0 386772  7284 ?        Ssl   2025   0:29 /usr/libexec/gvfs-afc-volume-monitor
nfnaa       3298  0.0  0.0 556312 14632 ?        Sl    2025   0:02 /usr/libexec/gvfsd-http --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
nfnaa       3314  0.0  0.0 395540 11868 ?        Ssl   2025   0:03 /usr/libexec/glib-pacrunner
nfnaa       3315  0.0  0.0 231556  7508 ?        Ssl   2025   0:04 /usr/libexec/dconf-service
nfnaa       3327  0.0  0.0 1172736 18400 ?       Sl    2025   0:58 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/1
nfnaa       3355  0.0  0.1 947804 31808 ?        SNsl  2025   0:40 /usr/libexec/tracker-miner-fs-3
nfnaa       3357  0.0  0.1 2922228 24684 ?       Sl    2025   0:02 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
nfnaa       3381  0.0  0.0 961420 14968 ?        Ssl   2025   0:13 /usr/libexec/xdg-desktop-portal
nfnaa       3395  0.0  3.0 2575616 742212 ?      Ssl   2025   4:43 /usr/libexec/xdg-desktop-portal-gnome
nfnaa       3406  0.0  0.0  39136  7952 ?        Ss    2025   0:00 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
nfnaa       3463  0.0  0.1 492416 25600 ?        Ssl   2025   0:14 /usr/libexec/xdg-desktop-portal-gtk
nfnaa       3474  0.0  0.2 2003928 66376 ?       Sl    2025   2:26 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
nfnaa       3553  0.0  0.0 234240  7032 ?        Ssl   2025   0:05 /usr/libexec/gvfsd-metadata
nfnaa       3735  0.0  0.1 568860 32216 ?        Sl    2025   0:15 /usr/bin/update-notifier
nfnaa       4396  0.0  0.0 2060976 9912 ?        Sl    2025   0:17 /usr/bin/snap userd
root        5860  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-tls-strp]
nfnaa       6180  0.4  0.4 615296 112908 ?       Sl    2025 159:14 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.Y3CGH3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
nfnaa       6190  0.0  0.2 863588 70424 ?        Ssl   2025   0:15 /usr/libexec/gsd-xsettings
nfnaa       6220  0.0  0.4 1206268 109784 ?      Sl    2025   7:31 /usr/libexec/mutter-x11-frames
nfnaa       6903  0.0  0.0 733404 12188 ?        Sl    2025   0:17 /usr/libexec/gvfsd-recent --spawner :1.20 /org/gtk/gvfs/exec_spaw/2
root        8396  0.0  0.1 601588 32340 ?        Ssl   2025   0:59 /usr/libexec/fwupd/fwupd
nfnaa      25110  0.0  0.0 459888  8524 ?        Sl    2025   0:01 /usr/libexec/gvfsd-network --spawner :1.20 /org/gtk/gvfs/exec_spaw/3
nfnaa      25119  0.0  0.0 387944  8120 ?        Sl    2025   0:02 /usr/libexec/gvfsd-dnssd --spawner :1.20 /org/gtk/gvfs/exec_spaw/4
nfnaa      51407  0.0  0.0 307268  6860 ?        Ssl   2025   0:02 /usr/libexec/flatpak-session-helper
nfnaa      51412  0.0  0.0   4436   796 ?        Ss    2025   0:00 server --sh -n /run/user/1000/.flatpak-helper/pkcs11-flatpak-51407 --provider p11-kit-trust.so pkcs11:model=p11-kit-trust?write-protected=yes
nfnaa      97270  0.0  0.0 117676  8668 ?        Ssl   2025   0:01 /usr/bin/speech-dispatcher -s -t 0
nfnaa      97282  0.0  0.0      0     0 ?        Z     2025   0:00 [sd_espeak-ng-mb] <defunct>
nfnaa      97285  0.0  0.0 104772  7908 ?        Sl    2025   0:00 /usr/lib/speech-dispatcher-modules/sd_espeak-ng /etc/speech-dispatcher/modules/espeak-ng.conf
nfnaa      97288  0.0  0.0 162692  5376 ?        Sl    2025   1:06 /usr/lib/speech-dispatcher-modules/sd_dummy /etc/speech-dispatcher/modules/dummy.conf
nfnaa      97291  0.0  0.0   5668  2484 ?        S     2025   0:00 /usr/lib/speech-dispatcher-modules/sd_openjtalk /etc/speech-dispatcher/modules/openjtalk.conf
root      240128  0.0  0.0      0     0 ?        I<    2025   0:04 [kworker/3:2H-kblockd]
root      240365  0.0  0.0      0     0 ?        I<    2025   0:13 [kworker/4:1H-kblockd]
root      240380  0.0  0.0      0     0 ?        I<    2025   0:09 [kworker/2:2H-kblockd]
